rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,gravity.x,gravity.y,gravity.z,class
-0.66959554,0.18671532,-0.27089256,0.9206,1.0221,0.63659996,0.4915,-9.347899,2.9231,dws
-0.7461806,-0.101787604,-0.1850049,0.858,2.0333,1.0589,0.4658,-9.3883,2.7949998,dws
-0.8723156,-0.2568252,0.12559389,0.37039998,3.2003,0.8814,0.4434,-9.4177,2.6978998,dws
-0.76600754,-0.65983915,0.43945646,-0.1025,4.0113997,-0.8052,0.40649998,-9.4443,2.6095998,dws
-0.06298893,-1.2692034,0.5126905,-0.3396,4.6232,-2.2349,0.3691,-9.4677,2.5291,dws
-0.36538467,1.2817523,0.8807804,-0.264,4.4214997,-2.0382,0.3522,-9.4916,2.4403,dws
0.11945033,1.4945953,0.9953962,0.1969,2.9475,-1.1064,0.3718,-9.518,2.3322,dws
2.1822724,-2.7127652,0.09955358,0.42639998,1.4052,0.4648,0.41689998,-9.5447,2.2123,dws
1.425393,-0.9214815,-0.04490732,-0.056399997,-0.0764,2.1208,0.45839998,-9.573299,2.0764,dws
2.1344852,1.3432927,-0.17671458,0.9259,-1.7982,5.8391,0.44689998,-9.6068,1.9179,dws
1.0084163,0.6579717,-0.3143687,-1.9894999,-5.3842998,4.2687,0.3812,-9.6394,1.7623,dws
-0.19212584,-0.23162265,-0.5646664,-5.2328,-7.2040997,-6.4371,0.3295,-9.6435995,1.7494999,dws
-1.0286622,1.1097676,0.3084695,2.0923,-2.7847998,-5.0703,0.114099994,-9.659699,1.6869999,dws
-0.9415353,0.47298422,0.40776128,5.3047,-0.5046,1.288,-0.1267,-9.655,1.7127,dws
-1.0319782,-0.46179667,0.14981906,2.8330998,-13.9668,14.9283,-0.0382,-9.568999,2.145,dws
-1.0609332,-0.15449655,-0.05396558,-1.4758999,-9.2671995,-1.0105,0.014699999,-9.5026,2.4227,dws
-0.88247335,0.2645221,-0.17519616,4.7546,2.468,-19.984499,-0.018,-9.3914995,2.8228,dws
-0.77661914,0.5729567,-0.23019147,-1.9277999,2.2142,-2.1843,0.0056999996,-9.333799,3.0081,dws
-0.7187091,0.68448323,-0.3510206,-8.116799,-7.9138,0.9644,0.1244,-9.345799,2.968,dws
-0.57831484,0.723439,-0.38177332,-3.3546999,-5.8813,-4.212,0.0008,-9.4071,2.7704,dws
-0.35105553,0.6587745,-0.2550624,0.36789998,-0.5437,-1.6442,-0.103099994,-9.459,2.5856,dws
0.0935322,0.49794245,-0.15800466,1.9236,0.6365,1.2434,-0.1094,-9.511499,2.3848999,dws
0.3620162,0.5149943,-0.19060741,2.122,1.3923,1.3034999,-0.092,-9.561299,2.1778,dws
0.5645791,0.49038514,-0.34848988,1.8535,1.9599999,1.4575,-0.0687,-9.5994,2.0040998,dws
0.70820224,0.27104962,-0.42051962,1.7610999,2.8439999,2.2969,-0.0449,-9.630199,1.8512,dws
0.66437703,0.33747685,-0.32567844,-0.0142,3.0391998,2.6963,0.0044,-9.6586,1.6969999,dws
0.75611156,-0.18113028,-0.3080157,-2.0016,2.3206,2.9141998,0.0501,-9.6756,1.5967,dws
0.5969201,-0.12260938,-0.3492753,-1.9518,2.1348,3.823,0.0788,-9.686,1.5314,dws
0.64420104,0.23319344,-0.29429743,-0.96779996,3.0723,3.1713,0.095,-9.682,1.5554,dws
1.1979766,0.03817035,-0.2677335,-0.7599,4.2868,1.6617,0.1127,-9.6706,1.6234,dws
1.7110859,-0.14891149,-0.23355997,-2.1036,3.6090999,0.3213,0.1619,-9.65,1.7379999,dws
1.9516621,0.19055505,-0.3147876,-2.5351,2.8653998,-2.1141999,0.2306,-9.6222,1.8788999,dws
2.7587373,-0.47774896,-0.42823398,-0.6304,3.0825999,-1.658,0.2774,-9.5942,2.011,dws
3.2435198,-0.67968357,0.07782423,-1.3412,2.3228,1.1076,0.3409,-9.5601,2.1578999,dws
3.586669,-0.7360577,0.44823545,-2.8019,0.979,1.2949,0.40899998,-9.530399,2.2747,dws
3.4316664,-0.70127326,0.5384864,-2.0088,-0.0646,3.1759999,0.4495,-9.496799,2.4039,dws
3.055548,-0.89406234,0.26223573,-1.7189,-1.2175,5.6001,0.4931,-9.4324,2.6374,dws
2.7761033,-1.4941764,0.23174481,-1.0302,-0.30769998,4.3315997,0.5399,-9.3322,2.9643998,dws
1.7356077,-1.1215485,1.1590208,-1.3844999,-4.5355997,3.0676,0.5803,-9.2034,3.3360999,dws
1.3273578,-0.8466243,0.48720866,-2.1962,-10.939099,4.0648,0.686,-8.9977,3.8392,dws
0.80639446,-1.175008,0.052708942,0.2929,-12.589399,1.4775,0.7269,-8.7007,4.4652,dws
0.057543505,-1.215552,0.12112585,1.4223,-9.546599,-1.2840999,0.7154,-8.3994,5.0106,dws
-0.6832789,-1.0382614,0.21755528,1.6087999,-3.8602,-3.0024,0.6957,-8.0058,5.6208,dws
-1.2886639,-0.7030186,0.175999,0.095199995,-7.5113997,-1.3532,0.7481,-7.6888,6.0407996,dws
-1.9428307,0.026162485,0.17907079,0.3989,-4.2536,-2.4905,0.8955,-7.3476,6.4326997,dws
-2.750185,0.9354441,0.1267109,3.5526998,2.6392,-2.744,0.87,-7.1208,6.6863,dws
-3.5089495,1.7807944,-0.0065973448,1.7778,1.8104999,-5.849,0.9091,-6.9687996,6.8395,dws
-3.9265718,1.9665322,-0.13552481,0.6443,1.5264,-5.9940996,1.0619,-6.8612,6.9256997,dws
-3.957028,1.4075731,-0.06997025,1.1434,2.4162,-6.5982,1.2199,-6.8585997,6.9021997,dws
-3.5763018,0.20720549,-0.09122836,0.84139997,3.2684999,-5.637,1.3256999,-6.9558,6.7844,dws
-2.9196217,-0.99574524,0.008307767,0.7233,5.0369997,-4.8645997,1.3948,-7.1356997,6.5807,dws
-1.9500738,-1.7963626,0.406365,1.0494,7.2904997,-5.0418997,1.3629,-7.4179997,6.2676997,dws
-1.1314621,-1.382039,0.7268598,0.3446,8.6854,-4.9512997,1.244,-7.7243,5.9124,dws
-0.48445103,-0.15974998,1.0596243,-2.2405999,8.2206,-4.8553,1.0442,-8.1226,5.3946,dws
-0.5290442,1.5374606,0.9359328,-3.8967,5.4516,-4.4915,0.8664,-8.5211,4.7759,dws
-0.51291734,2.4615948,0.24876177,-2.2631,1.9302,-4.4893,0.7529,-8.8733,4.1068,dws
0.2731964,0.22488567,-0.2770012,-1.3607,-3.5451999,-2.01,0.7527,-9.1445,3.4613,dws
-0.49790752,-2.1992195,-0.46284387,-0.98539996,-7.2539997,4.5278997,0.81869996,-9.348599,2.8465998,dws
0.301366,-0.8314923,0.2414314,0.1165,-6.3202996,11.2698,0.8346,-9.4487,2.4889,dws
0.061365776,3.5917306,1.1537848,1.2297,0.3739,11.043799,0.76089996,-9.5137,2.254,dws
1.905376,-3.0542912,0.7107853,3.8079998,5.1549997,6.4177,0.5656,-9.5483,2.1629999,dws
1.0007544,1.3287367,0.15358898,7.2379,3.3902998,-1.6766,0.3229,-9.5782995,2.0786,dws
-0.4958306,1.128687,0.057927478,6.5298,-5.8743,-13.8777,0.1778,-9.6005,1.992,dws
-0.6381622,1.0912322,-0.7256904,3.1534,-8.594,-4.7651,0.2298,-9.5875,2.0486999,dws
-0.59730405,0.30557224,-0.2438574,-10.6081,-7.2844,14.9746,0.3895,-9.6025,1.9516,dws
-1.1429464,0.4007276,0.19788542,-10.9063,-3.0869,-13.4942,0.37399998,-9.592999,2.0008,dws
-1.0544058,0.50529027,0.21197024,3.8077998,-15.8727,11.6935,0.0069,-9.594999,2.0259,dws
-0.6346192,0.59142226,-0.04733333,0.72029996,-10.3179,2.0039,0.0053,-9.5111,2.3894,dws
-0.17739527,0.5567775,-0.30138347,9.5321,3.9113,-9.921,-0.0883,-9.4618,2.5758,dws
-0.10355038,0.8086983,-0.32473597,0.6842,5.6239,-7.0358,-0.1546,-9.4876995,2.4757,dws
0.22513002,0.36704275,-0.41254348,-7.2756996,-3.0017998,-3.6618,-0.0694,-9.5212,2.3476999,dws
0.24082053,0.6406231,-0.19209094,-4.4732,-4.4736,-0.4344,-0.0378,-9.5498,2.2291,dws
0.3024481,0.575627,-0.03748967,1.1034,-0.4333,2.2796,-0.0933,-9.5988,2.0059,dws
0.4870341,0.22200587,-0.16249016,3.2814999,2.6861,1.6042999,-0.1532,-9.639,1.7985,dws
0.6331531,0.2669132,-0.3331659,1.0174,2.9147,2.7215998,-0.1642,-9.661699,1.6716,dws
0.7171907,0.292395,-0.43868852,0.7866,4.1187997,3.2333999,-0.119799994,-9.6693,1.6306,dws
1.1385132,0.3438124,-0.5093569,-0.31559998,4.7697,3.1064,-0.0863,-9.6730995,1.6105,dws
1.4648898,0.29129544,-0.53777087,-2.8741999,3.537,1.8375,-0.0187,-9.6662,1.6535,dws
1.7915804,-0.14514159,-0.6418274,-1.6047,4.137,0.41799998,-0.0034999999,-9.6581,1.7001,dws
2.8799503,-0.8418421,-0.6484073,-0.2676,4.8619,0.8692,-0.0167,-9.6476,1.7588999,dws
3.6788573,-0.89496994,-0.23949409,-0.24129999,4.3831997,1.0882,0.0058999998,-9.6298,1.8536999,dws
3.9637997,-1.0651919,0.24666739,-0.6279,2.9268,0.8671,0.0591,-9.6051,1.9768,dws
3.6249266,-1.1379198,0.53080696,-1.4541999,1.2976999,3.2473998,0.1303,-9.5745,2.1167,dws
2.9493098,-1.4485185,0.43142793,-2.231,0.31309998,2.4773998,0.21079999,-9.5216,2.3376,dws
3.035337,-1.9958887,-0.13484414,-2.2382998,-0.3021,2.0484,0.2965,-9.4456,2.6195,dws
