rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,gravity.x,gravity.y,gravity.z,class
-0.13852678,0.2657264,0.08492772,-1.0770999,-0.0532,0.17189999,0.26319999,-9.7534,-0.98579997,ups
-0.16006415,0.43048546,0.15531684,-1.344,-0.2811,0.22129999,0.2751,-9.750999,-1.0059,ups
-0.2250253,0.639541,0.18453366,-1.0332999,-0.34309998,0.7705,0.2782,-9.7478,-1.0352,ups
-0.23638739,0.6401868,0.14810865,-0.4443,-0.22809999,1.4646,0.2677,-9.7452,-1.0626,ups
-0.19694296,0.56813955,0.049008846,-0.2889,-0.035,1.928,0.2497,-9.7421,-1.0945,ups
-0.20256291,0.38639843,-0.05311037,-0.3135,0.0705,1.2548,0.2351,-9.7399,-1.1175,ups
-0.16025613,0.20526817,-0.13028882,-0.43649998,0.0962,1.2504,0.2207,-9.736199,-1.1523,ups
-0.08674286,0.23799309,-0.17432348,-0.6874,-0.024899999,1.9002999,0.2069,-9.7326,-1.1844,ups
-0.14156365,0.41476005,-0.22568853,-0.9805,-0.1838,2.1736,0.196,-9.730599,-1.2027999,ups
-0.11056661,0.44263294,-0.25954792,-0.8339,0.0018999999,2.4157999,0.1769,-9.7301,-1.2096,ups
-0.04441863,0.08857546,-0.24589944,-0.5599,0.33449998,1.4555,0.148,-9.7293,-1.2200999,ups
0.3548778,0.022130774,-0.25314257,-0.0898,0.4201,0.6457,0.1192,-9.7267,-1.2439,ups
1.0249795,-0.28818876,-0.4484798,0.0009,0.6222,0.5793,0.096999995,-9.722799,-1.2756,ups
1.4616259,-0.53387874,-0.3765548,-0.2602,0.56119996,0.47869998,0.093499996,-9.7206,-1.2926999,ups
2.3793724,-0.49834386,-0.2557431,-0.4973,-0.0007,0.52959996,0.105,-9.7176,-1.3141999,ups
3.5964255,-0.61041147,-0.15711454,-0.7436,-1.4541,0.5324,0.1257,-9.7156,-1.3268,ups
4.355626,-1.2962735,-0.13098696,-0.72389996,-3.4743998,-0.0968,0.15519999,-9.7154,-1.3249999,ups
4.007747,-0.8683711,-0.21184807,-1.0826,-6.2422,0.0314,0.19999999,-9.7130995,-1.3356999,ups
3.109147,0.1603434,0.15821409,-2.4682999,-7.47,1.0768,0.252,-9.7111,-1.3416,ups
3.0217931,0.025429446,0.80969316,-0.087799996,-7.9412,2.6209,0.29369998,-9.7107,-1.3362,ups
3.8154118,-0.31946507,0.79175115,-0.1401,-8.2354,4.0083,0.3362,-9.7204,-1.2527,ups
4.228357,-1.058612,0.61025435,-0.6454,-7.2226,5.4421997,0.41009998,-9.7428,-1.0389999,ups
4.373551,-2.2977958,0.5557826,-1.0655,-5.2855997,7.8389997,0.4673,-9.7675,-0.73899996,ups
4.7583437,-2.2902734,0.23965116,0.1704,-3.9489,4.935,0.5061,-9.7901,-0.2573,ups
4.764225,-2.112564,0.14817846,1.6988,-5.7365,2.7345998,0.537,-9.7775,0.53099996,ups
4.5420623,-2.130925,0.18678513,1.0403,-7.6549997,1.8368,0.57769996,-9.7027,1.3011999,ups
4.400987,-2.1335254,-0.11510447,-2.4185,-7.5505,-2.079,0.6435,-9.561999,2.079,ups
3.9703972,-2.7201655,-0.48733082,-2.9638,-4.8753,-2.8413,0.6004,-9.4129,2.6843998,ups
3.2105505,-2.6431963,-0.69800955,-0.9912,-3.7159,-2.9454,0.442,-9.2386,3.2593,ups
2.1671927,-2.243324,-0.6986204,0.93939996,-3.4979,-5.8813,0.31579998,-8.9663,3.9592,ups
1.2896413,-1.8696665,-0.59479076,2.5477,-2.2058,-5.6159,0.2962,-8.5618,4.7725,ups
0.45601964,-1.2749804,-0.2646792,2.8049998,-1.1251,-1.1248,0.4213,-8.1617,5.4202,ups
-0.25679028,-0.48335147,-8.726646e-05,-0.235,-2.4394999,-4.7462,0.6469,-7.6122,6.1485996,ups
-0.548906,-0.009651671,0.22088887,-0.31649998,-0.3445,-7.218,0.9245,-6.9319,6.8747997,ups
-0.78379244,-0.033859387,0.49321258,-0.55649996,2.5393,-8.3574,1.1744,-6.3540998,7.3767,ups
-1.1129092,0.010018189,0.8380373,-1.2475,4.4765,-9.9857,1.5122,-5.6826997,7.8478,ups
-1.1876442,0.6069033,0.9914343,-1.1865,4.6702,-9.528999,2.0495,-4.9644,8.2051,ups
-0.9145002,0.5219058,0.5574407,-0.45389998,4.5573,-9.1717,2.5035,-4.4592,8.3675995,ups
-1.8611667,-1.1476761,0.6341654,-1.3815,3.9025998,-8.458,2.9406998,-4.0594997,8.428599,ups
-1.7151351,0.8761727,0.9945584,-1.2804999,4.3698997,-7.7423,3.3398,-3.7814999,8.4092,ups
