rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,gravity.x,gravity.y,gravity.z,class
2.8198063,-0.43476152,-0.43821725,-0.051799998,-3.8262,0.0659,0.1891,-9.755899,-0.97789997,ups
3.437932,-0.38226202,-0.34953707,-0.89269996,-4.9333,1.165,0.2553,-9.7472,-1.0474,ups
3.5412207,-0.8415105,-0.22483331,0.0363,-6.1963997,2.8058,0.32639998,-9.7393,-1.0993999,ups
3.3119018,-0.4079707,0.12465142,-0.98359996,-8.4973,3.3242998,0.405,-9.7331,-1.1276,ups
2.8566678,0.10185742,0.7348883,-0.5352,-7.5657997,4.1656,0.48619998,-9.733,-1.0962,ups
2.84089,0.16334537,0.98359776,0.36319998,-5.7402997,3.5900998,0.5586,-9.7443,-0.9521,ups
3.3716445,-0.38926077,0.91029394,0.2146,-4.0273,5.8176,0.62869996,-9.760799,-0.7083,ups
3.692436,-1.1342372,0.8023279,-0.2782,-2.5612,6.4641,0.7097,-9.775499,-0.3251,ups
3.9225576,-2.1837559,0.7794815,0.2877,-2.5161,4.2829,0.7909,-9.7715,0.24769999,ups
4.207011,-2.307814,0.68048644,-1.0921,-4.3463,2.9364998,0.86649996,-9.7163,1.0057,ups
4.2731595,-1.9080462,0.51632077,-3.2631,-6.6435,1.7197,0.91929996,-9.6257,1.6341,ups
4.160516,-1.8763162,0.47905797,-4.7366,-6.4460998,-2.8039,0.9022,-9.4798,2.3429,ups
4.1310897,-2.0521057,0.2340312,-2.9789,-3.8952,-3.3558,0.7626,-9.353499,2.8458998,ups
3.8040323,-2.1913307,-0.059306286,-1.2161,-3.3673,-2.0169,0.559,-9.1851,3.3897998,ups
3.2461727,-2.301426,-0.37330848,1.2738999,-2.3769,-3.5486999,0.4127,-8.939899,4.0095997,ups
2.3542922,-1.8043214,-0.5852787,2.4554,-1.7972,-5.0543,0.359,-8.587999,4.7209,ups
1.4952585,-1.3599955,-0.61411154,2.3232,-1.0023,-2.0507998,0.4323,-8.2354,5.3066,ups
0.71027917,-0.88118184,-0.45226717,-0.1934,-1.601,-3.1506999,0.5955,-7.7152,6.0241,ups
0.02974041,-0.24764477,-0.21149899,0.3699,-0.375,-5.3431997,0.7382,-7.2349,6.5787997,ups
-0.40955895,-0.03415609,0.0016057029,0.122999996,1.4453,-6.6493998,0.94589996,-6.6134,7.1789,ups
-0.56770325,0.022549653,0.23952898,-0.6591,3.3288999,-8.0480995,1.2181,-6.0060997,7.6559,ups
-0.8233591,0.16662659,0.56875044,0.096499994,4.94,-8.4649,1.5313,-5.4695997,7.9941998,ups
-1.273113,0.23547982,0.8266403,0.68399996,5.2728,-7.8396997,1.9440999,-4.9295,8.2516,ups
-1.441101,1.0755941,0.8505513,-0.359,4.0032997,-7.9358997,2.3007,-4.5132,8.3968,ups
-0.9215513,1.9660087,0.31738812,-1.6236999,3.6039,-6.8327,2.5846999,-4.2314997,8.4606,ups
-1.7449453,-0.65413195,0.16226326,-1.0371,3.9199998,-4.8732,2.7728999,-4.0867,8.472199,ups
-1.5955276,0.44172537,0.4886922,-0.6861,2.7354,-3.8416,2.8337,-4.0691,8.4606,ups
-2.5269923,1.5572351,0.80185664,-1.5655999,1.3819,-2.1193,2.8404999,-4.1376,8.425,ups
-2.5390177,1.0540218,1.236112,-2.5716,1.0194,-1.7006999,2.8167999,-4.2458,8.379,ups
-2.8306797,1.0693458,1.3671513,-1.7605,1.4985,-0.50519997,2.7314,-4.4305997,8.311299,ups
-2.8393366,1.3780946,1.267109,0.7748,1.8621,5.9305,2.628,-4.657,8.2204,ups
-2.9173877,1.6476432,1.0214714,6.5712,-3.8732998,2.8957,2.3723,-4.933,8.1367,ups
-2.7304628,1.1920425,0.7634419,6.8100996,-5.0722,-4.746,2.0256,-5.0972,8.1293,ups
-2.613648,0.7453778,0.50630254,-5.5369997,-5.6384997,10.6352,2.1145,-5.3841,7.9189,ups
-2.5125062,0.4718672,0.2636669,-3.7854,-4.5713997,-4.6015,1.9907999,-5.6569,7.7591996,ups
-2.4340186,0.49853584,0.037681658,-1.1475999,-5.2309,-0.2305,1.6575999,-6.0761,7.5168,ups
