rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,gravity.x,gravity.y,gravity.z,class
-1.0231993,-0.0766025,-0.0090408055,0.096999995,3.2479,-0.85429996,1.4620999,-8.769,4.1394997,dws
-0.91107935,0.25179866,0.1894904,-0.15879999,3.3098998,-0.9316,1.4140999,-8.840899,4.0011,dws
-0.8011934,0.57445765,0.3048392,-0.54289997,3.4003,-1.06,1.3666999,-8.9214,3.8353,dws
-0.59557617,0.6032905,0.33147293,-0.4384,3.4171,-1.2996,1.3307999,-9.0069,3.6434,dws
-0.34629077,0.34894368,0.2701595,-0.5819,2.9124,-1.6299,1.3174,-9.0906,3.4343,dws
-0.29850367,0.103428215,0.26535985,-0.9195,1.9904,-1.2523999,1.3313999,-9.1689,3.2136998,dws
-0.36351717,-0.3663097,0.21584487,-0.8738,1.0804,0.21669999,1.3642,-9.2395,2.99,dws
-0.29178414,-1.3903292,0.030194197,-0.81839997,0.3373,1.9781,1.397,-9.3005,2.7779999,dws
-0.5138424,-0.75478506,0.21933553,-0.67789996,0.2579,2.6346998,1.4036,-9.3585,2.5726,dws
-0.23835962,1.2743173,1.033392,0.0023999999,1.2232,2.0481,1.3606,-9.401899,2.4334,dws
1.4370518,-1.1350574,0.5745973,0.8117,2.5024,1.096,1.277,-9.445499,2.3068,dws
2.656618,-3.6699212,0.28029987,1.0174,3.7805,0.18429999,1.189,-9.4781,2.2182,dws
1.1124206,2.8862684,0.20251055,0.76739997,4.1133,-0.0711,1.1251,-9.4971,2.1698,dws
1.1354414,0.37747982,-1.1998092,2.23,1.9617,1.4044,1.0748,-9.512899,2.1259,dws
0.04923574,0.6727546,-1.4280459,1.8677,-3.3758,1.7253,1.0546,-9.5296,2.0599,dws
-1.28917,3.0482001,0.48996627,-2.9415,-8.1412,-1.9035,1.1077,-9.5401,1.982,dws
-0.7668279,0.9966877,0.44633305,-3.2912998,-6.9796,-4.1261,1.0946,-9.564099,1.8706,dws
-0.80389863,-0.34925783,0.14901622,1.8661,-1.9585999,-8.1721,0.85029995,-9.5935,1.8468,dws
-0.7466518,0.34536576,0.046617743,-0.1277,-21.2875,25.9851,0.7847,-9.544499,2.1108,dws
-0.45596728,0.12449434,-0.11306243,5.9493,-4.0593,-13.841499,0.9055,-9.4248,2.554,dws
-0.28071874,0.007120943,-0.18322466,11.125999,10.290199,-10.5844,0.7204,-9.3684,2.8077,dws
-0.2523048,0.12370893,-0.31970942,-5.0855,0.8682,1.7609999,0.92749995,-9.2823,3.0245,dws
-0.104999006,0.061191242,-0.4042008,-11.3698,-10.4316,0.8767,1.1511999,-9.250199,3.0458,dws
-0.041381758,-0.31382766,-0.2570172,-3.7809,-5.0383997,-6.4818997,0.8782,-9.3380995,2.8632998,dws
0.08543386,-0.2747672,-0.023282692,-0.9722,0.0831,0.9949,0.73679996,-9.3896,2.7315,dws
0.1762259,0.023684118,-0.03195698,-0.6261,2.2417,2.3959,0.7242,-9.439799,2.5563998,dws
0.47492155,0.25635397,-0.28609437,-0.4044,2.5513,-0.0578,0.6986,-9.4748,2.431,dws
0.5324127,0.36983526,-0.43059018,0.2977,3.3859,2.0191,0.7123,-9.4955,2.3446999,dws
0.5291315,0.42013565,-0.47165778,0.7255,3.8476,2.0433,0.74539995,-9.506,2.2911,dws
0.5330759,0.42753586,-0.46060985,-0.7654,3.3251998,1.1913999,0.8046,-9.5132,2.2408,dws
0.8747067,0.24898867,-0.46725956,-2.5165,2.2739,1.7955999,0.86899996,-9.5112,2.225,dws
1.8251606,-0.08794714,-0.50806534,-3.076,1.859,2.8853998,0.9284,-9.5082,2.2138999,dws
2.7957208,-0.30862656,-0.35634387,-0.82379997,3.4919999,2.2923,0.94149995,-9.5035,2.2285,dws
3.5774014,-0.47420597,0.062692225,0.1352,5.1108,0.57739997,0.94339997,-9.4943,2.2663999,dws
3.7892668,-0.50284684,0.3620162,-0.66889995,4.7883997,-0.0609,0.98279995,-9.4661,2.3655,dws
3.7509744,-0.19139281,0.12229522,-2.4315999,3.6218998,-0.8605,1.0489,-9.4274,2.4884,dws
3.3917506,-0.2571219,-0.53373915,-3.2428,2.7055,-1.0209,1.105,-9.3935995,2.5899,dws
2.9668503,-0.33962363,-0.7208035,-2.8697,1.8133,-0.36929998,1.1633999,-9.3546,2.7031999,dws
2.0541303,-0.93659604,0.20710076,-2.6327999,-0.68909997,4.1541,1.2304,-9.2939,2.8771,dws
1.5095701,-0.21957988,0.14641567,-2.1855,-7.1591997,6.4221,1.3225,-9.168799,3.2178,dws
0.93352425,-0.38299504,-0.057386424,0.7658,-14.2483,5.5649,1.4013,-8.964,3.7219,dws
0.11205014,-0.51628584,0.21060888,3.4973998,-14.7634,4.8331,1.4254,-8.6449995,4.4047,dws
-0.7635641,-0.35372588,0.52968997,5.437,-8.779099,0.85099995,1.408,-8.3334,4.9740996,dws
-1.4230542,-0.40479422,0.6708173,3.0275998,-3.1734,-0.6978,1.4049,-7.8982,5.6404,dws
-2.0264146,-0.122050874,0.78499675,-0.74869996,-6.5899,-2.3504,1.5136,-7.4825997,6.1554,dws
-2.8523219,0.62767273,0.70696306,0.4942,-5.7121,-4.3971,1.6436,-7.1247997,6.5348997,dws
-3.7134671,1.5476358,0.470087,1.3133999,1.7406,-2.3472,1.7364,-6.8595996,6.7896,dws
-4.227397,1.6382883,0.25745353,-0.57699996,1.5595,-5.4351997,1.744,-6.6589,6.9846997,dws
-4.1589274,0.621058,0.10831513,-2.0672,1.3701,-6.2783,1.8024,-6.5284,7.0923,dws
-3.807715,-0.2947163,0.0033161256,-1.026,1.6686,-6.9968996,1.8498,-6.5228996,7.0850997,dws
-3.2813587,-0.88816315,0.17844246,-0.35819998,2.1301,-6.921,1.8291999,-6.6411,6.9799,dws
-2.4295506,-1.198186,0.53845155,0.4633,4.6584997,-6.0243998,1.7921,-6.865,6.7697,dws
-1.394012,-1.2348379,0.64280474,1.196,7.4191,-5.6052,1.6969,-7.1642,6.4779997,dws
-0.4076042,-1.4611896,0.7548549,0.3891,8.6166,-5.1438,1.5133,-7.5477,6.0755,dws
-0.30934215,-0.37297687,0.8409345,-2.9068,7.6513,-5.1261997,1.2593,-7.9946,5.5381,dws
-0.2881364,2.7663991,0.50904274,-4.4073,4.4446,-4.3578997,1.0239999,-8.4848995,4.809,dws
0.46746898,1.9408062,0.15285593,-2.7883,0.38189998,-4.2854,0.95449996,-8.825399,4.1677,dws
-0.36219072,-1.4275746,-0.22788765,-0.5717,-3.8746998,-2.5219998,0.9738,-9.1189995,3.4733,dws
0.65357345,-3.0768933,-0.29215068,1.8491,-6.0056,2.3130999,0.99469995,-9.3319,2.8451,dws
1.8947469,0.2922903,0.29126054,3.3411,-4.9848,8.0531,0.95409995,-9.470099,2.3615,dws
1.2341921,2.736048,0.75509924,2.7893,-1.7364999,10.900499,0.87829995,-9.5508995,2.0441,dws
0.41530108,-1.2722752,0.2856755,2.2691,1.6136,10.9025,0.8003,-9.5766,1.9539,dws
