rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,gravity.x,gravity.y,gravity.z,class
-0.1110553,0.10855948,-1.6545547,0.9102,-0.6591,0.0871,-3.352,-9.1572,-1.0382999,jog
-0.47534043,-0.46640435,-1.8364704,1.0129,-1.7486,0.42769998,-3.1311,-9.215199,-1.2024,jog
-0.3360806,-0.33363715,-1.7998184,0.401,-2.6125998,0.76379997,-2.8723,-9.2827,-1.3227,jog
0.09730211,-0.19968311,-1.4596887,-0.4301,1.5323,0.7364,-2.6097999,-9.3482,-1.4032999,jog
0.38786453,-0.79473567,-1.0908133,-0.22369999,3.7721999,-1.0141,-2.424,-9.391399,-1.4473,jog
1.0060776,-1.7582098,-0.9957976,0.55509996,4.1351,-0.1112,-2.1045,-9.4797,-1.3694999,jog
1.7952107,-1.2528671,-0.885807,-0.5787,1.4905,1.4074,-1.8533,-9.5418,-1.2995,jog
2.0190492,-1.1299436,-0.6835233,-1.5033,-0.585,-0.0629,-1.5465,-9.604,-1.2413,jog
1.7044885,-1.1309384,-0.31831315,-1.7170999,-2.4407,-0.1165,-1.1953,-9.6508,-1.2662,jog
1.4742621,-0.9624618,0.08075638,-2.9148,-2.3585,2.6806998,-0.89,-9.6741,-1.3371999,jog
1.6183041,-0.872141,0.32939598,-2.2305999,-2.2238,1.9429,-0.55439997,-9.691199,-1.3938,jog
1.9149404,-0.7809825,0.013020156,-1.2178999,-2.3741999,0.7299,-0.253,-9.7074995,-1.3672999,jog
1.7304242,-0.6555806,0.5546133,-0.8854,-4.1751,4.3514,-0.0854,-9.720799,-1.2917,jog
1.566049,-1.0356435,0.75850266,-2.1216,-4.6404,5.5404997,0.0622,-9.7458,-1.0883,jog
1.17705,-0.84294164,0.5579294,-2.1550999,-3.0184999,1.9541999,0.2232,-9.779099,-0.699,jog
1.6479399,-0.61994094,0.79948294,-2.0344,-1.9922999,0.78249997,0.32799998,-9.795199,-0.3412,jog
1.7161998,-1.0713354,0.79953533,-1.6561999,-1.851,0.83129996,0.3813,-9.7992,-0.0075,jog
1.7378069,-1.3832258,0.7194247,-1.1564,-4.8266,1.2492,0.362,-9.795,0.3099,jog
1.7586985,-1.7870426,0.6631204,-2.0219,-4.9655,0.7363,0.3058,-9.7836,0.5973,jog
1.4703351,-1.9937943,0.64788365,-1.5359,-3.9759998,-0.72819996,0.31,-9.7532,0.9733,jog
1.3358575,-2.0850925,0.6394363,0.5225,-3.7724,-1.5912,0.2031,-9.7116995,1.346,jog
1.2353091,-2.1070836,0.535467,-1.8485999,-0.23359999,1.839,0.0932,-9.671,1.6226,jog
1.0198133,-1.8776252,0.31703904,-2.8922,1.0978,-0.2074,0.009,-9.6296,1.8549999,jog
0.811805,-1.704698,0.15892968,-1.0881,1.3944,-1.3952,-0.13769999,-9.5535,2.2091,jog
0.5138424,-1.3919176,0.054628804,-0.29479998,1.7195,-1.8447,-0.2346,-9.4766,2.5116,jog
0.16678366,-1.0652966,0.04590216,-0.3163,0.1697,-1.8212999,-0.3014,-9.3782,2.8509998,jog
-0.23434536,-0.8980417,0.032201324,0.2042,-0.1971,-0.6935,-0.32189998,-9.2662,3.1941998,jog
-0.6550221,-0.9196314,-0.05588544,0.28309998,-0.34989998,-1.1083,-0.3126,-9.162399,3.4815,jog
-1.0858042,-0.96544635,-0.085172065,1.3568,0.4989,-1.3047,-0.27809998,-9.0503,3.7661998,jog
-1.3939421,-0.6188065,0.031660274,2.5865,0.84999996,-1.4817,-0.21329999,-8.9503,4.002,jog
-1.3531014,-0.1476374,0.23863886,2.0105999,1.5473,-1.2226,-0.1277,-8.8728,4.1744,jog
